                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6922,                 2.5844,                 2.5465,                0.68101,                0.86667,                0.87119,                0.68352,                 2.8974,                 2.4339,                  2.437,                      0,                      0,                      0
                      2,                 1.6604,                 2.6155,                 2.3011,                0.72339,                    0.7,                0.87226,                0.65092,                 2.8901,                 2.4561,                 2.4291,             1.0722e-06,             1.0722e-06,             1.0722e-06
                      3,                 1.8345,                 2.8422,                 2.3432,                0.67796,                0.86667,                0.87229,                 0.6843,                 2.8759,                 2.4283,                 2.4194,             1.9088e-06,             1.9088e-06,             1.9088e-06
                      4,                  2.178,                 3.0394,                 2.6418,                0.79353,                0.68849,                0.87226,                0.68427,                 2.8605,                  2.448,                 2.4118,             2.5097e-06,             2.5097e-06,             2.5097e-06
                      5,                 1.7216,                 3.3222,                 2.5245,                0.64752,                0.86667,                0.87256,                0.68662,                 2.9133,                 2.3464,                 2.4178,              2.875e-06,              2.875e-06,              2.875e-06
                      6,                 1.6003,                 2.5571,                 2.2277,                0.64232,                0.86667,                 0.8762,                0.68733,                 2.9003,                 2.3428,                   2.41,             3.0048e-06,             3.0048e-06,             3.0048e-06
                      7,                 1.8622,                 2.7985,                 2.3494,                 0.6377,                0.86667,                0.87657,                0.68764,                 2.9009,                 2.3466,                 2.4084,             2.8988e-06,             2.8988e-06,             2.8988e-06
                      8,                 1.9697,                 2.8583,                 2.5795,                0.62674,                0.86791,                0.87698,                 0.6877,                 2.9017,                 2.3466,                 2.4065,             2.5573e-06,             2.5573e-06,             2.5573e-06
                      9,                 1.5199,                 2.4073,                 2.2974,                0.62845,                 0.8693,                0.87755,                0.68801,                  2.905,                 2.3435,                 2.4034,             1.9802e-06,             1.9802e-06,             1.9802e-06
                     10,                 1.5711,                 2.6034,                 2.1618,                0.62887,                0.87282,                0.87751,                0.70274,                 2.9123,                 2.3433,                 2.4001,             1.1674e-06,             1.1674e-06,             1.1674e-06
